decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
27.312,33.801,Chelonia mydas,2005-01-03T10:26Z,2005-01-03T00:00:00,7.5
-14.9406,145.705,Carcharhinus melanopterus,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
28.505,34.5199,Synanceia verrucosa,2012-09-17T12:04Z,2012-09-17T00:00:00,9.45
20.681,-156.443,Bathytoshia lata,2013-01-12T08:22Z,2013-01-12T00:00:00,7.925
16.3172,-86.4833,Hypanus longus,2013-01-22T11:00Z,2013-01-22T00:00:00,8.0
27.2009,33.9559,Amphiprion chrysopterus,2012-12-01T10:40Z,2012-12-01T00:00:00,6.21
-14.9406,145.705,Eretmochelys imbricata,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
28.505,34.5199,Scorpaenopsis diabolus,2012-09-17T12:04Z,2012-09-17T00:00:00,9.45
12.1034,-68.2872,Paracanthurus hepatus,2007-01-05T10:58Z,2007-01-05T00:00:00,8.5
16.3172,-86.4833,Panulirus argus,2013-01-22T11:00Z,2013-01-22T00:00:00,8.0
27.2009,33.9559,Neotrygon kuhlii,2012-12-01T10:40Z,2012-12-01T00:00:00,6.21
-14.6647,145.664,Chelonia mydas,2013-01-21T02:00Z,2013-01-21T00:00:00,5.0
28.505,34.5199,Gorgasia sillneri,2012-09-17T12:04Z,2012-09-17T00:00:00,9.45
12.1034,-68.2872,Canthidermis maculata,2007-01-05T10:58Z,2007-01-05T00:00:00,8.5
16.3452,-86.4308,Epinephelus striatus,2013-01-22T09:00Z,2013-01-22T00:00:00,10.0
