decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
11.9585,120.071,Aspidontus taeniatus,2012-12-15T00:35Z,2012-12-15T00:00:00,6.095
20.3406,-87.0225,Apogon lachneri,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.6272,-86.9379,Hypanus americanus,2012-12-18T10:45Z,2012-12-18T00:00:00,10.0
20.3406,-87.0225,Holacanthus ciliaris,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.3406,-87.0225,Pristigenys alta,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
25.0096,-80.3745,Hypanus sabinus,2013-01-01T16:21Z,2013-01-01T00:00:00,4.57
20.3406,-87.0225,Chromis cyanea,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.6272,-86.9379,Hypanus guttatus,2012-12-18T10:45Z,2012-12-18T00:00:00,10.0
20.3406,-87.0225,Centropyge argi,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.3406,-87.0225,Chelonia mydas,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
25.0096,-80.3745,Acanthocybium solandri,2013-01-01T16:21Z,2013-01-01T00:00:00,4.57
20.3406,-87.0225,Stegastes partitus,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.5516,-87.0886,Epinephelus itajara,2012-12-15T08:45Z,2012-12-15T00:00:00,9.4
18.3281,-78.3727,Tursiops truncatus,2007-02-17T09:40Z,2007-02-17T00:00:00,11.005
19.2925,-81.3873,Canthidermis maculata,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
25.0096,-80.3745,Aulostomus maculatus,2013-01-01T16:21Z,2013-01-01T00:00:00,4.57
20.3406,-87.0225,Scarus vetula,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.5516,-87.0886,Hypanus guttatus,2012-12-15T08:45Z,2012-12-15T00:00:00,9.4
18.476,-77.3095,Octopus briareus,2005-12-27T08:51Z,2005-12-27T00:00:00,6.005
19.2925,-81.3873,Megalops atlanticus,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
25.0096,-80.3745,Coenobita clypeatus,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
20.3406,-87.0225,Gymnothorax funebris,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
20.5516,-87.0886,Chelonia mydas,2012-12-15T08:45Z,2012-12-15T00:00:00,9.4
