scientificName,taxonKey,Vernacular Names List,commonName
"Chelonia mydas (Linnaeus, 1758)",2442225,"['Aruanã', 'Aruanã', 'Black Sea Turtle', 'Common Green Sea Turtle', 'Common green turtle', 'Depeia', 'Depeia', 'Falso Carei', 'Falso-Carei', 'Green Sea Turtle', 'Green Sea Turtle', 'Green Turtle', 'Green sea turtle', 'Green turtle', 'Jereba', 'Jereba', 'Kada : lu', 'Krapé', 'Nyamba, Gnamba mali, Catsa', 'Schwarze Suppenschildkröte']",Green Turtle
"Sparisoma amplum (Ranzani, 1841)",2393931,"['Brazilian Stoplight parrotfish', 'Reef parrotfish', 'Reef parrotfish', 'batata', 'bobó', 'budião-farol', 'budião-jandaia', 'budião-papagaio', 'papagaio-bandeira', 'papagaio-de-recife', 'Reef Parrotfish']",Reef Parrotfish
"Acanthostracion quadricornis (Linnaeus, 1758)",2408197,"['Baiacu-caixão', 'Baiacu-de-chifre', 'Baiacú-chifrudo', 'Bekrapte koeivis', 'Bel', 'Botelia', 'Chapín', 'Chifrudo', 'Chupachupa', 'Coffre taureau', 'Coffre taureau', 'Cofre', 'Cofre', 'Cowfish', 'Firhornet kuffertfisk', 'Kostera czteroroga', 'Kribukirju sarvikkohver', 'Peixe-boi', 'Peixe-cofre', 'Peixe-vaca']",Cowfish
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)",2398634,"['Badet', 'Betok', 'Bombin', 'Buring', 'Common sergeant', 'Damselfish', 'Demoiselle', 'Fembåndet sergentfisk', 'Five-banded damsel-fish', 'Five-banded damselfish', 'Five-banded sergeant major', 'Five-banded sergeant-major', 'Five-banded sergeant-major', 'Gegela', 'Gombing jalur lima', 'Indo-Pacific sergeant', 'Indo-Pacific sergeant', 'Indo-Pacific sergeant', 'Indo-Pacific sergeant', 'Indo-Pacific sergeant']",Common sergeant
"Sphyraena barracuda (Edwards, 1771)",9784990,"['Ai', 'Aii', 'Alho', 'Ali', 'Alu', 'Alu', 'Alu', 'Alu-alu', 'Alu-alu', 'Alu-alu', 'Alu-alu', 'Alu-alu besar', 'Amerikanischer Pfeilhecht', 'Aqam', 'Asugon', 'Asusud', 'Babayo', 'Babayuti', 'Bacuda', 'Balyos']",Barracuda
"Archosargus probatocephalus (Walbaum, 1792)",2392542,"['Convictt fish', 'Fårehovedhavrude', ""Kubinskiy morskoi karas'"", 'Rondeau mouton', 'Rondeau mouton', 'Sargento', 'Sargo', 'Sargo', 'Sargo chopa', 'Sargo chopa', 'Sargo chopa', 'Sargo-choupa', 'Sargo-de-dente', 'Sargo-de-dentes', 'Sargo-do-mar', 'Schafskopf', 'Sheephead', 'Sheepshead', 'Sheepshead', 'Sheepshead']",Sheepshead
"Alcyonium palmatum Pallas, 1766",5185161,"['Diebeshand', 'Mediterranean sea-fingers', 'Mittelmeer-Korkkoralle', 'Seemannshand', 'korali i butë', 'Diebeshand', 'Mediterranean sea-fingers', 'Mittelmeer-Korkkoralle', 'Seemannshand', 'korali i butë']",Sea Fingers
"Pseudupeneus maculatus (Bloch, 1793)",2396813,"['Barbaray jaune et gris', 'Barbaray rouge', 'Barbeel', 'Barbí shouru', 'Beija-moça', 'Canaiú', 'Chivo manchado', 'Copper pilot', 'Goat mullet', 'Goatfish', 'Goatfish', 'Goatfish', 'Goatfish', 'Mandinga', 'Pargo rojo', 'Pirametara', 'Plettet mulle', 'Queen mullet', 'Red goatfish', 'Red goatfish']",Goatfish
"Sepia officinalis Linnaeus, 1758",2290849,"['Aluda', 'Casseron', 'Chakod', 'Chibia', 'Choco', 'Choco', 'Common Cuttlefish', 'Common cuttlefish', 'Gemeine Sepia', 'Gemeine Sepie', 'Gemeine Tintenschnecke', 'Gemeiner Tintenfisch', 'Gemeiner Tintenfisch', 'Gemeiner Tintenfish', 'Gewone inktvis', 'Gewöhnlicher Tintenfisch', 'Jibia', 'Jibión', 'Kora katitza', 'Luda']",Common cuttlefish
"Carangoides bartholomaei (Cuvier, 1833)",5210553,"['Atún', ""Bok' abou"", ""Bok'abou"", 'Carangue gras', 'Carangue grasse', 'Carangue grasse', 'Carangue grasse', 'Carangue grasse', 'Carangue jaune', 'Cibi amarillo', 'Cibí amarillo', 'Coginoa', 'Cojinoa amarilla', 'Cojinoa tumana', 'Cojinua amarilla', 'Cojinua amarilla', 'Cojinuda amarilla', 'Cojinúa amarilla', 'Cojinúa amarilla', 'Cojinúa amarilla']",Bar Jack
