scientificName,taxonKey
"Pomatoschistus microps (Krøyer, 1838)",2379280
"Lepomis gibbosus (Linnaeus, 1758)",2394486
"Hippoglossus hippoglossus (Linnaeus, 1758)",2409218
"Homarus gammarus (Linnaeus, 1758)",5972003
"Anarhichas denticulatus Krøyer, 1845",2392210
"Manta birostris (Walbaum, 1792)",2419163
"Cheilinus undulatus Rüppell, 1835",2383313
"Fistularia tabacaria Linnaeus, 1758",5200941
"Micropterus Lacepède, 1802",2391100
"Heniochus diphreutes Jordan, 1903",2385729
"Sphyraena novaehollandiae Günther, 1860",2394253
"Chlorurus genazonatus (Randall & Bruce, 1983)",5211125
Cyprinidae,7336
"Micropterus dolomieu Lacepède, 1802",5211250
"Gymnothorax meleagris (Shaw, 1795)",2403958
"Echidna nebulosa (Ahl, 1789)",5213106
"Polycera quadrilineata (O.F.Müller, 1776)",2291758
"Sebastes viviparus Krøyer, 1845",2335390
"Pagurus prideauxi Allen, 1967",2224205
"Polycera faeroensis Lemche, 1929",2291770
"Sander canadensis (Griffith & Smith, 1834)",2382152
"Tripneustes ventricosus (Lamarck, 1816)",2278879
"Palinurus elephas (Fabricius, 1787)",2221606
"Munida rugosa (Fabricius, 1775)",2222603
"Adamsia carciniopados (Bohadsch, 1761)",5184246
"Nebrius ferrugineus (Lesson, 1831)",2417496
"Glossogobius giuris (Hamilton, 1822)",2378087
"Adalaria proxima (Alder & Hancock, 1854)",2292099
"Flabellina pedata (Montagu, 1816)",5190127
"Limacia clavigera (O.F.Müller, 1776)",5190033
"Adalaria loveni (Alder & Hancock, 1862)",2292094
"Mimachlamys varia (Linnaeus, 1758)",4373480
"Rhincodon typus Smith, 1828",2417522
"Octopus briareus G.C.Robson, 1929",2289580
"Myliobatis californica Gill, 1865",2419300
"Stereolepis gigas Ayres, 1859",5211259
"Paralichthys californicus (Ayres, 1859)",2408903
"Raja inornata Jordan & Gilbert, 1881",5216063
"Gymnothorax funebris Ranzani, 1839",2403964
"Setarches guentheri Johnson, 1862",2336894
"Canthidermis maculata (Bloch, 1786)",2407067
"Gymnothorax moringa (Cuvier, 1829)",2404065
"Stephanolepis hispidus (Linnaeus, 1766)",5213455
"Melichthys niger (Bloch, 1786)",2407141
"Canthidermis sufflamen (Mitchill, 1815)",2407087
"Holacanthus ciliaris (Linnaeus, 1758)",5211452
"Enchelycore nigricans (Bonnaterre, 1788)",2404189
"Chaetodon capistratus Linnaeus, 1758",2385548
"Dasyatis americana Hildebrand & Schroeder, 1928",2419523
