scientificName,taxonKey,Common Name
"Ameiurus catus (Linnaeus, 1758)",2340972,White catfish
"Carcharhinus perezii (Poey, 1876)",2418059,Caribbean reef shark
"Loligo pealeii Lesueur, 1821",2290370,Longfin Inshore Squid
"Dasyatis thetidis Ogilby, 1899",2419529,Longtail stingray
"Orectolobus maculatus (Bonnaterre, 1788)",2417541,Spotted wobbegong
"Panulirus argus (Latreille, 1804)",2221646,Caribbean spiny lobster
"Sepia hedleyi S.S.Berry, 1918",2290767,Hedley's Cuttlefish
"Echinaster sepositus (Retzius, 1783)",2273623,red starfish
"Carcharias taurus Rafinesque, 1810",2420766,Blue Nurse Shark
"Solea solea (Linnaeus, 1758)",5214139,Common sole
"Octopus vulgaris Cuvier, 1797",2289671,common octopus
"Oblada melanura (Linnaeus, 1758)",2392603,Brandbrasse
"Chromis chromis (Linnaeus, 1758)",5212224,No common name found
"Thalassoma pavo (Linnaeus, 1758)",2384491,No common name found
"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)",5210979,Common two-banded seabream
"Diplodus annularis (Linnaeus, 1758)",5210983,Annular sea bream
"Pinna nobilis Linnaeus, 1758",4374731,fan mussel
"Holothuria forskali Delle Chiaje, 1823",2279155,black sea cucumber
Diplodus sargus sargus,7193220,White seabream
"Anemonia viridis (Forsskål, 1775)",2256644,snakelocks anemone
"Trachinus draco Linnaeus, 1758",2386475,No common name found
"Sabella spallanzanii (Viviani, 1805)",9759810,No common name found
"Diplodus puntazzo (Cetti, 1777)",5210973,Sharpsnout sea bream
"Symphodus tinca (Linnaeus, 1758)",2383970,No common name found
"Apogon imberbis (Linnaeus, 1758)",5211775,Cardinal fish
"Cancer irroratus Say, 1817",2222075,Atlantic rock crab
"Lithognathus mormyrus (Linnaeus, 1758)",2392647,No common name found
"Serranus scriba (Linnaeus, 1758)",2388714,No common name found
"Esox lucius Linnaeus, 1758",2346633,American Pike
"Pagurus pubescens Krøyer, 1838",2224225,Downy Hermit Crab
"Paralichthys Girard, 1858",2408863,Southern Flounders
